lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	3-break	4-break	outcome
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
G	g	-1	c	1	1	g	-1	c	1	1	FALSE	FALSE	FALSE	P
Sc	g	-1	c	1	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Nc	v	1	n	1	1	n	-1	a	1	1	FALSE	FALSE	FALSE	P
Nr	n	-1	a	1	1	n	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	FALSE	P
Sc	v	0	n	2	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sc	s	-1	c	1	1	s	-1	o	0	1	FALSE	FALSE	FALSE	D
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Nc	v	1	n	1	1	n	-1	a	1	1	FALSE	FALSE	FALSE	P
Nr	n	-1	a	1	1	n	-1	a	1	1	FALSE	FALSE	FALSE	P
Sc	n	-1	a	1	1	a	-1	a	1	2	FALSE	FALSE	FALSE	D
Sr	n	-1	a	1	1	a	-1	a	1	2	FALSE	FALSE	FALSE	P
Fc	n	-1	a	1	1	a	-1	a	1	2	FALSE	FALSE	FALSE	P
Fr	a	-1	a	1	2	a	-1	a	1	2	FALSE	FALSE	FALSE	P
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	FALSE	P
Fc	v	0	n	2	1	fs	-1	c	2	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	0	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	2	1	fu	-1	c	2	1	FALSE	FALSE	FALSE	P
Fr	fu	-1	c	2	1	fu	-1	c	2	1	FALSE	FALSE	FALSE	P
Fc	fu	-1	c	2	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	FALSE	FALSE	FALSE	P
Fc	v	0	n	1	1	fu	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fu	-1	o	0	1	fu	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Nc	v	1	n	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	P
Nr	n	-1	c	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	P
Fc	n	-1	c	1	1	fs	-1	c	1	2	FALSE	FALSE	FALSE	P
Fr	fs	-1	c	1	2	fs	-1	c	1	2	FALSE	FALSE	FALSE	P
Nc	fs	-1	c	1	2	s	-1	c	1	3	FALSE	FALSE	FALSE	M
Sr	s	-1	c	1	3	s	-1	c	1	3	FALSE	FALSE	FALSE	P
Nc	s	-1	c	1	3	n	-1	o	0	1	FALSE	FALSE	FALSE	P
Nr	n	-1	o	0	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	a	1	1	FALSE	FALSE	TRUE	D
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	D
V	v	2	n	2	1	v	2	n	2	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	TRUE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	a	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	v	1	n	1	1	a	-1	o	0	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	1	1	a	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	a	-1	o	0	1	a	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	1	1	fs	-1	c	1	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	FALSE	FALSE	FALSE	P
Nc	fs	-1	c	1	1	s	-1	c	1	2	FALSE	FALSE	FALSE	M
Sr	s	-1	c	1	2	s	-1	c	1	2	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	0	n	1	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	2	g	-1	o	0	2	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Fc	s	-1	c	1	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	2	g	-1	o	0	2	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	FALSE	P
Nc	v	0	n	2	1	n	-1	c	2	1	FALSE	FALSE	FALSE	P
Nr	n	-1	c	2	1	n	-1	c	2	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
Nc	s	-1	c	1	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
Nr	n	-1	o	0	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	TRUE	P
Sc	v	1	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	FALSE	P
V	v	2	n	1	1	v	2	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	2	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Nc	#	-1	#	0	0	n	-1	o	0	1	FALSE	FALSE	FALSE	P
Nr	n	-1	o	0	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	#	-1	#	0	0	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	D
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	D
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	D
Fc	v	1	n	1	1	fu	-1	c	1	1	FALSE	FALSE	FALSE	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Nc	v	1	n	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	P
Nr	n	-1	c	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	0	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
Nc	v	1	n	2	1	n	-1	a	2	1	FALSE	FALSE	FALSE	P
Nr	n	-1	a	2	1	n	-1	a	2	1	FALSE	FALSE	FALSE	P
Sc	n	-1	a	2	1	s	-1	a	2	2	FALSE	FALSE	FALSE	D
Sr	s	-1	a	2	2	s	-1	a	2	2	FALSE	FALSE	FALSE	D
V	v	0	n	3	1	v	0	n	3	1	FALSE	FALSE	FALSE	D
Nc	v	0	n	3	1	n	-1	c	3	1	FALSE	FALSE	FALSE	P
Nr	n	-1	c	3	1	n	-1	c	3	1	FALSE	FALSE	FALSE	P
Sc	n	-1	c	3	1	s	-1	c	3	2	FALSE	FALSE	FALSE	P
Sr	s	-1	c	3	2	s	-1	c	3	2	FALSE	FALSE	FALSE	D
Sc	s	-1	c	3	2	s	-1	o	0	1	FALSE	FALSE	FALSE	D
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	D
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	TRUE	P
Sc	v	0	n	2	1	a	-1	c	2	1	FALSE	FALSE	FALSE	P
Sr	v	0	n	2	1	a	-1	c	2	1	FALSE	FALSE	FALSE	P
Fc	v	0	n	2	1	a	-1	c	2	1	FALSE	FALSE	FALSE	P
Fr	a	-1	c	2	1	a	-1	c	2	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Fc	v	1	n	1	1	fu	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fu	-1	o	0	1	fu	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
G	g	-1	c	1	1	g	-1	c	1	1	FALSE	FALSE	TRUE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Fc	s	-1	c	1	1	fs	-1	c	1	2	FALSE	FALSE	FALSE	P
Fr	fs	-1	c	1	2	fs	-1	c	1	2	FALSE	FALSE	FALSE	P
Nc	fs	-1	c	1	2	n	-1	o	0	1	FALSE	FALSE	FALSE	P
Nr	n	-1	o	0	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	M
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
V	v	0	n	1	1	v	0	n	1	1	FALSE	FALSE	FALSE	P
Nc	v	0	n	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	P
Nr	n	-1	c	1	1	n	-1	c	1	1	FALSE	FALSE	FALSE	D
Fc	n	-1	c	1	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	FALSE	FALSE	FALSE	P
Nc	v	0	n	1	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
Nr	n	-1	o	0	1	n	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	0	n	2	1	v	0	n	2	1	FALSE	FALSE	FALSE	P
G	g	-1	c	2	1	g	-1	c	2	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	1	1	fu	-1	c	1	1	FALSE	FALSE	FALSE	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	FALSE	FALSE	FALSE	P
Fc	fu	-1	c	1	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	0	n	1	1	v	0	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	0	n	1	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	TRUE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	a	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	v	1	n	1	1	a	-1	c	1	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	1	1	a	-1	c	1	1	FALSE	FALSE	FALSE	P
Fr	a	-1	c	1	1	a	-1	c	1	1	FALSE	FALSE	FALSE	P
V	v	2	n	1	1	v	2	n	1	1	TRUE	FALSE	FALSE	P
Sc	v	2	n	1	1	s	-1	a	1	1	FALSE	FALSE	TRUE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	2	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Sc	v	1	n	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	c	1	1	s	-1	c	1	1	FALSE	FALSE	FALSE	D
